Species	baseMean	log2FoldChange
Dysosmobacter_welbionis	0.207163891	-1.910756663
Enterocloster_clostridioformis	2.062381714	0.001449272
Enterocloster_clostridioformis	20.44552423	3.033413468
Blautia_pseudococcoides	33.36883416	-0.760196983
Enterocloster_clostridioformis	6.42448209	-0.133555735
Clostridium_spMD294	2.490205688	-0.260823385
Flavonifractor_plautii	0.288879772	-1.389966332
Schaedlerella_arabinosiphila	3.183729433	1.014618306
Enterocloster_lavalensis	0.507303809	-0.292349587
Blautia_pseudococcoides	1.517080807	-0.665192435
Enterocloster_lavalensis	0.274534439	0.556680693
Clostridium_scindens	0.147498672	0.485845449
Enterocloster_clostridioformis	2.470767302	0.067732653
Dorea_sp52	102.2084273	0.590517793
Blautia_faecis	0.638259231	0.246105047
Enterocloster_aldenensis	0.709622254	0.615017804
Enterocloster_clostridioformis	0.123922401	-1.495157554
Coprobacillus_cateniformis	0.147987797	1.011725796
Acetatifactor_aquisgranensis	2.252076213	-0.443234117
Dorea_sp52	6.656889056	-2.478508011
Dorea_sp52	7.286843623	0.507961013
Enterocloster_clostridioformis	3.823090009	-0.185452408
Lactococcus_lactis	0.198918252	0.573344384
Lactococcus_lactis	2.482686959	0.197300958
Enterocloster_clostridioformis	3.787095077	-0.753310658
Clostridium_scindens	1.72816702	0.181589302
Clostridioides_difficile	1.952729805	0.212945326
Enterocloster_clostridioformis	0.548657297	0.528971906
Clostridium_spMD294	0.595469347	-0.535830602
Enterocloster_clostridioformis	32.89843277	-0.134014811
Extibacter_muris	0.319173918	1.558203115
Enterocloster_clostridioformis	0.692796983	-1.434148526
Anaerotruncus_spG3	0.495248622	0.704717613
Dysosmobacter_welbionis	0.229375041	-1.778674179
Clostridium_spMD294	2.726203497	0.254244387
Dysosmobacter_welbionis	0.635510348	-3.253997725
Dysosmobacter_welbionis	0.229784548	-2.015552256
Clostridioides_difficile	1.28111813	-2.251574606
Enterocloster_clostridioformis	4.860352546	-0.711997282
Dysosmobacter_welbionis	0.123922401	-1.495157554
Clostridioides_difficile	0.47115618	-0.795534816
Hominisplanchenecus_murintestinalis	0.639595779	-2.344847314
Anaerostipes_faecis	0.200335906	0.450333607
Schaedlerella_arabinosiphila	0.943767697	-0.009634126
Dorea_sp52	37.01852333	0.879286988
Enterocloster_clostridioformis	0.299109549	-1.306728685
Enterocloster_clostridioformis	13.63512754	0.009007105
Enterocloster_clostridioformis	0.763281634	0.019872039
Clostridium_scindens	0.159274265	0.617496125
Lactococcus_lactis	0.219753174	-1.53688298
Dorea_sp52	0.598522725	-0.357145881
Enterocloster_clostridioformis	0.25333948	-0.721106668
Lactococcus_lactis	0.105015455	0.69558929
Lactococcus_lactis	0.309595517	-0.908226974
Enterocloster_clostridioformis	20.5319355	0.076675295
Clostridium_spMD294	4.024578641	-0.332003964
Enterocloster_clostridioformis	84.64116143	2.052702372
Anaerostipes_caccae	0.06813945	0.413570873
Dorea_sp52	4.118811788	2.602100763
Enterocloster_clostridioformis	1.83095772	-0.501854413
Clostridium_scindens	5.800538482	0.23940371
Enterocloster_clostridioformis	18.23954648	0.547342097
Dysosmobacter_welbionis	0.506547834	-2.993606775
Blautia_pseudococcoides	5.562335903	-0.483914917
Enterocloster_clostridioformis	17.45332011	-0.419221142
Enterocloster_clostridioformis	9.720462741	-0.163014713
Clostridium_scindens	4.208168108	1.308584039
Enterocloster_aldenensis	0.213216243	-0.262338055
Anaerostipes_faecis	0.18659088	0.064743033
Clostridium_spMD294	6.30824237	-0.684662161
Flavonifractor_plautii	128.6751365	-0.430774675
Dysosmobacter_welbionis	0.409162223	-2.206761681
Enterocloster_clostridioformis	1.466909356	-4.388958327
Eisenbergiella_massiliensis	39.3776463	-1.954673369
Eisenbergiella_massiliensis	91.1719967	-2.175042287
Escherichia_coli	0.919040702	2.359440592
Dysosmobacter_welbionis	0.482083849	-2.471816306
Clostridium_scindens	7.995326408	1.136877547
Enterocloster_bolteae	0.091690637	0.622004028
Enterocloster_clostridioformis	0.191995154	-0.797141373
Clostridioides_difficile	0.580039393	-0.628774465
Enterocloster_clostridioformis	3.844539168	0.136036789
Enterocloster_clostridioformis	3.045049538	-0.48956718
Dorea_sp52	2.878872424	4.09951503
Clostridium_spMD294	0.556362666	0.407506296
Enterocloster_clostridioformis	51.83738845	-0.368008182
Dysosmobacter_welbionis	0.123922401	-1.495157554
Hominisplanchenecus_murintestinalis	0.921197378	-3.300316739
Dysosmobacter_welbionis	0.421239083	-2.248523859
Flavonifractor_plautii	60.92740027	-0.370496684
Coprobacillus_cateniformis	18.16457634	0.329781428
Clostridium_scindens	0.691194577	0.514335935
Lactococcus_lactis	0.116779956	0.272325219
Enterocloster_clostridioformis	7.240047464	-0.200087408
Enterocloster_clostridioformis	3.989695766	0.08611772
Enterocloster_clostridioformis	2.868542204	-0.109921407
Enterocloster_clostridioformis	0.676915799	-1.058178228
Enterocloster_clostridioformis	6.223474048	-4.667435958
Schaedlerella_arabinosiphila	43.95544072	0.690589694
Enterocloster_clostridioformis	52.98711777	-0.513463998
Enterocloster_clostridioformis	0.402801013	0.067820625
Enterocloster_clostridioformis	5.289222753	-0.002350405
