Species	baseMean	log2FoldChange
Lactococcus_lactis	0.255859125	-1.282996094
Enterocloster_clostridioformis	3.622663545	0.287006135
Dysosmobacter_welbionis	0.445580492	-2.387459599
Extibacter_muris	0.452434645	-2.47281682
Dorea_sp52	1.540342898	0.290665492
Guopingia_tenuis	0.571871584	-0.060078129
Extibacter_muris	1.023693521	-3.54968575
Enterocloster_clostridioformis	150.2794828	-3.474088275
Blautia_pseudococcoides	60.99178594	-0.602227841
Enterocloster_clostridioformis	7.345139474	0.472970069
Anaerostipes_faecis	0.489048407	2.561831995
Extibacter_muris	0.426058785	-2.420460436
Extibacter_muris	0.698527046	-2.603873268
Dysosmobacter_welbionis	0.448449233	-1.005339594
Flavonifractor_plautii	0.69569474	-0.668032739
Enterocloster_aldenensis	0.277891027	-1.547008302
Schaedlerella_arabinosiphila	13.72664623	-1.225628394
Anaerostipes_faecis	0.361177114	1.494429028
Blautia_pseudococcoides	4.838647124	0.647540675
Enterocloster_lavalensis	1.174215645	2.538633664
Blautia_pseudococcoides	2.056646353	-1.624970115
Enterocloster_lavalensis	0.38771936	1.186475678
Lactococcus_lactis	0.171699518	-0.833703174
Extibacter_muris	0.447140267	-2.438435999
Dysosmobacter_welbionis	0.792530037	-3.195572501
Enterocloster_clostridioformis	7.826077298	-1.51764037
Enterocloster_clostridioformis	0.211252355	-1.237172708
Dorea_sp52	0.189881055	1.364041982
Schaedlerella_arabinosiphila	0.743234549	-0.289407524
Lactococcus_lactis	0.113917789	0.872410449
Anaerostipes_faecis	0.369708169	0.45470299
Dorea_sp52	83.15527628	0.842462851
Enterocloster_aldenensis	1.231586074	-0.573971711
Providencia_rettgeri	0.881903476	3.050609511
Extibacter_muris	0.307705108	-1.981347746
Extibacter_muris	1.799425143	-4.41908293
Guopingia_tenuis	0.748657856	0.816879924
Coprobacillus_cateniformis	0.724801647	-2.080928411
Blautia_pseudococcoides	0.324088804	-0.108494902
Acetatifactor_aquisgranensis	2.50814083	0.249733835
Anaerostipes_faecis	0.400614555	0.826016835
Acutalibacter_muris	558.0417555	8.407759474
Guopingia_tenuis	0.44438126	0.269852509
Dorea_sp52	28.43495154	3.514198221
Intestinimonas_butyriciproducens	20.01789336	0.826241065
Dorea_sp52	9.419660566	3.337232188
Enterocloster_clostridioformis	12.89561276	-0.873798495
Lactococcus_lactis	0.254987791	-0.068405782
Lactococcus_lactis	5.758089204	0.421365713
Extibacter_muris	0.865482889	-2.870029306
Enterocloster_clostridioformis	0.554977226	-1.18042174
Enterocloster_clostridioformis	5.271655794	0.815642745
Extibacter_muris	0.237011363	-1.712017047
Clostridium_scindens	2.813909733	0.382991783
Extibacter_muris	0.629678303	-2.884480742
Anaerotruncus_spG3	1.005794649	-0.303029455
Clostridioides_difficile	1.277247968	0.024048662
Clostridioides_difficile	18.03790649	-1.066466081
Dysosmobacter_welbionis	0.291854196	-1.733568301
Enterocloster_clostridioformis	1.967749155	-1.45671575
Enterocloster_clostridioformis	54.47030118	0.23200742
Extibacter_muris	0.266762421	-1.822473921
Enterocloster_clostridioformis	2.220062774	-0.805821299
Anaerotruncus_spG3	2.070816945	0.025220137
Enterocloster_clostridioformis	0.588511285	-2.06257686
Dysosmobacter_welbionis	0.263916994	-1.694896596
Enterococcus_faecium	0.238386995	0.6417767
Anaerostipes_caccae	0.340324562	0.33155595
Anaerostipes_faecis	0.137222297	0.966608337
Providencia_rettgeri	1.015599901	2.411328918
Extibacter_muris	0.626896842	-2.925124545
Dysosmobacter_welbionis	1.461751516	-4.084862565
Flavonifractor_plautii	0.183291646	0.966111592
Extibacter_muris	3.007059608	-3.399125094
Clostridioides_difficile	21.57629536	-1.701507471
Enterocloster_clostridioformis	6.046429708	0.371550196
Anaerostipes_faecis	0.1825282	1.119611131
Dysosmobacter_welbionis	0.513014647	-2.576627984
Extibacter_muris	0.3678871	-2.192136342
Clostridioides_difficile	6.700726519	-1.597565802
Dysosmobacter_welbionis	0.834507526	-3.280989602
Anaerostipes_faecis	0.929186866	2.61600451
Extibacter_muris	1.79940155	-2.531954888
Providencia_rettgeri	1.002556618	1.170726678
Schaedlerella_arabinosiphila	0.472618011	-2.372843578
Dorea_sp52	71.39218869	0.452331309
Extibacter_muris	0.341868835	-1.459169056
Extibacter_muris	0.959105948	-2.459481985
Extibacter_muris	0.364373058	-2.180023156
Anaerostipes_caccae	0.284604333	0.31681889
Enterocloster_clostridioformis	19.35123934	0.445438411
Enterocloster_clostridioformis	2.905643027	-1.365003824
Guopingia_tenuis	0.415193471	-1.690653868
Guopingia_tenuis	0.836412923	0.781433812
Lactococcus_lactis	0.666675084	0.047046237
Dorea_sp52	0.45604546	-1.228544104
Enterocloster_clostridioformis	1.007022597	1.595686514
Dorea_sp52	0.486778363	0.610969082
Enterocloster_clostridioformis	1.205936333	-0.475617881
Guopingia_tenuis	0.44062107	0.181564048
Guopingia_tenuis	0.387811901	-0.844367217
Extibacter_muris	0.563584031	-1.589127002
Lactococcus_lactis	0.383706812	-0.772439668
Lactococcus_lactis	0.399325607	1.108828239
Extibacter_muris	1.288032503	-3.946211987
Enterocloster_clostridioformis	73.62630808	-0.878387048
Extibacter_muris	0.456221305	-2.006142119
Enterocloster_clostridioformis	268.3518851	-2.508260951
Enterocloster_clostridioformis	0.355977591	-1.119875113
Extibacter_muris	0.292106712	-1.927868038
Dorea_sp52	9.904776364	-0.351844194
Enterocloster_clostridioformis	1.246187237	1.003999736
Guopingia_tenuis	1.047249606	-0.664278747
Clostridium_scindens	6.457042581	0.717403518
Enterocloster_clostridioformis	59.63495547	-1.080025381
Dysosmobacter_welbionis	1.151039334	-3.740633189
Providencia_rettgeri	0.504994511	0.628893102
Blautia_pseudococcoides	10.72336418	-0.59754103
Dorea_sp52	18.22523628	-3.423202717
Enterocloster_clostridioformis	26.1640617	0.491044091
Enterocloster_clostridioformis	12.11478405	0.057304154
Extibacter_muris	0.478077798	-2.544946172
Erysipelatoclostridium_innocuum	1027.460876	0.458309655
Clostridioides_difficile	0.886272104	-1.365199706
Clostridium_scindens	6.554025245	1.338072291
Enterocloster_aldenensis	0.689301845	-0.679414901
Guopingia_tenuis	1.386553261	-0.12283462
Anaerostipes_faecis	0.221717426	0.641981211
Extibacter_muris	0.247126797	-1.457424297
Flavonifractor_plautii	696.3547795	-0.54223584
Extibacter_muris	0.313862924	-2.013809925
Enterocloster_clostridioformis	4.176751735	2.236299955
Extibacter_muris	0.637166427	-2.927873966
Guopingia_tenuis	1.014646263	0.437013237
Dysosmobacter_welbionis	0.346949545	-2.053191759
Clostridium_scindens	14.19450313	0.811952208
Guopingia_tenuis	0.6019965	0.096683219
Enterocloster_bolteae	0.619479472	-0.16131975
Guopingia_tenuis	0.684123603	0.620064616
Enterocloster_clostridioformis	0.63388057	-1.651827747
Lactococcus_lactis	0.194934719	0.642194077
Clostridioides_difficile	7.897273746	-1.20320439
Enterocloster_clostridioformis	10.63293202	-0.731756306
Enterocloster_clostridioformis	2.945720785	0.183147578
Lactococcus_lactis	0.174824984	0.984168767
Dorea_sp52	12.83199867	0.301166108
Guopingia_tenuis	0.692552934	-1.672343085
Dysosmobacter_welbionis	0.208821645	-1.304180266
Guopingia_tenuis	0.42573658	-0.120859595
Enterocloster_clostridioformis	69.39740891	0.50990757
Guopingia_tenuis	0.703048911	0.354983968
Dysosmobacter_welbionis	0.761333245	-3.140597216
Dysosmobacter_welbionis	0.887901393	-3.358290732
Dysosmobacter_welbionis	0.595268144	-2.789290545
Flavonifractor_plautii	360.3059325	-0.598602646
Lactococcus_lactis	0.241024161	1.479214554
Enterocloster_clostridioformis	0.31840829	-1.626542027
Coprobacillus_cateniformis	39.96584031	-1.932053158
Clostridium_scindens	1.004482292	0.630562045
Enterocloster_clostridioformis	10.34997432	0.373218301
Enterocloster_clostridioformis	13.80143094	-1.064894954
